지점,지점명,일시,일강수량(mm)
90,속초,2017-03-01,0.2
90,속초,2017-03-02,7.9
90,속초,2017-03-04,0.0
90,속초,2017-03-05,1.7
90,속초,2017-03-06,6.5
90,속초,2017-03-09,0.0
90,속초,2017-03-14,8.3
90,속초,2017-03-21,4.8
90,속초,2017-03-23,0.9
90,속초,2017-03-25,4.7
90,속초,2017-03-26,0.6
90,속초,2017-03-27,1.3
90,속초,2017-03-31,11.8
90,속초,2017-04-01,11.2
90,속초,2017-04-02,0.1
90,속초,2017-04-05,4.5
90,속초,2017-04-06,1.2
90,속초,2017-04-08,0.0
90,속초,2017-04-09,5.6
90,속초,2017-04-11,0.0
90,속초,2017-04-12,0.2
90,속초,2017-04-14,0.0
90,속초,2017-04-17,17.1
90,속초,2017-04-18,6.4
90,속초,2017-04-21,0.4
90,속초,2017-04-29,0.1
90,속초,2017-05-09,3.6
90,속초,2017-05-10,0.2
90,속초,2017-05-11,0.0
90,속초,2017-05-12,0.0
90,속초,2017-05-13,9.8
90,속초,2017-05-23,9.1
90,속초,2017-05-24,1.7
90,속초,2017-05-25,0.0
90,속초,2017-05-26,0.8
90,속초,2017-06-01,15.0
90,속초,2017-06-02,0.8
90,속초,2017-06-03,4.3
90,속초,2017-06-04,1.1
90,속초,2017-06-06,8.8
90,속초,2017-06-07,3.2
90,속초,2017-06-09,14.1
90,속초,2017-06-10,0.3
90,속초,2017-06-13,3.1
90,속초,2017-06-21,0.9
90,속초,2017-06-24,1.5
90,속초,2017-06-25,2.2
90,속초,2017-06-26,14.4
90,속초,2017-07-02,18.8
90,속초,2017-07-03,49.2
90,속초,2017-07-07,3.1
90,속초,2017-07-08,67.6
90,속초,2017-07-10,9.3
90,속초,2017-07-11,12.5
90,속초,2017-07-15,1.5
90,속초,2017-07-21,18.7
90,속초,2017-07-22,40.1
90,속초,2017-07-23,25.2
90,속초,2017-07-24,9.0
90,속초,2017-07-25,2.8
90,속초,2017-07-27,0.0
90,속초,2017-07-28,7.6
90,속초,2017-07-29,4.9
90,속초,2017-08-06,3.3
90,속초,2017-08-07,3.4
90,속초,2017-08-09,6.4
90,속초,2017-08-10,74.9
90,속초,2017-08-11,54.4
90,속초,2017-08-12,0.7
90,속초,2017-08-13,0.0
90,속초,2017-08-14,1.0
90,속초,2017-08-15,65.3
90,속초,2017-08-16,18.4
90,속초,2017-08-17,24.3
90,속초,2017-08-18,89.4
90,속초,2017-08-19,4.4
90,속초,2017-08-20,31.1
90,속초,2017-08-21,18.6
90,속초,2017-08-23,5.2
90,속초,2017-08-24,20.0
90,속초,2017-08-27,0.0
90,속초,2017-08-28,4.1
90,속초,2017-09-06,0.0
90,속초,2017-09-11,13.1
90,속초,2017-09-15,0.0
90,속초,2017-09-16,0.0
90,속초,2017-09-17,5.1
90,속초,2017-09-19,28.8
90,속초,2017-09-24,0.0
90,속초,2017-09-27,2.1
90,속초,2017-09-28,1.4
90,속초,2017-10-01,0.0
90,속초,2017-10-02,0.0
90,속초,2017-10-03,4.6
90,속초,2017-10-04,0.0
90,속초,2017-10-06,14.8
90,속초,2017-10-07,0.2
90,속초,2017-10-10,38.8
90,속초,2017-10-11,36.5
90,속초,2017-10-12,0.0
90,속초,2017-10-17,0.0
90,속초,2017-10-18,0.0
90,속초,2017-10-22,3.2
90,속초,2017-10-29,37.3
90,속초,2017-11-03,20.9
90,속초,2017-11-04,18.1
90,속초,2017-11-10,1.1
90,속초,2017-11-22,0.0
90,속초,2017-11-25,1.1
90,속초,2017-12-10,0.5
90,속초,2017-12-18,0.0
90,속초,2017-12-20,0.0
90,속초,2017-12-24,9.4
90,속초,2018-01-08,1.1
90,속초,2018-01-09,0.4
90,속초,2018-01-22,2.4
90,속초,2018-02-23,0.0
90,속초,2018-02-24,5.4
90,속초,2018-02-28,49.0
90,속초,2018-03-01,0.6
90,속초,2018-03-04,16.0
90,속초,2018-03-05,22.0
90,속초,2018-03-07,2.4
90,속초,2018-03-08,9.4
90,속초,2018-03-09,0.0
90,속초,2018-03-15,2.7
90,속초,2018-03-16,0.1
90,속초,2018-03-18,0.0
90,속초,2018-03-19,1.8
90,속초,2018-04-03,1.6
90,속초,2018-04-04,22.6
90,속초,2018-04-05,11.0
90,속초,2018-04-06,5.7
90,속초,2018-04-08,2.1
90,속초,2018-04-10,6.0
90,속초,2018-04-11,0.0
90,속초,2018-04-14,19.1
90,속초,2018-04-22,4.8
90,속초,2018-04-23,56.8
90,속초,2018-04-24,12.0
90,속초,2018-05-01,0.6
90,속초,2018-05-02,16.6
90,속초,2018-05-03,0.6
90,속초,2018-05-06,3.4
90,속초,2018-05-07,1.8
90,속초,2018-05-08,14.6
90,속초,2018-05-09,0.0
90,속초,2018-05-12,5.7
90,속초,2018-05-16,10.5
90,속초,2018-05-17,47.3
90,속초,2018-05-18,19.3
90,속초,2018-05-22,2.4
90,속초,2018-05-23,0.8
90,속초,2018-05-28,0.0
90,속초,2018-05-29,0.0
90,속초,2018-05-30,0.0
90,속초,2018-06-09,1.5
90,속초,2018-06-10,7.0
90,속초,2018-06-11,1.2
90,속초,2018-06-13,0.0
90,속초,2018-06-14,0.5
90,속초,2018-06-15,1.3
90,속초,2018-06-26,18.6
90,속초,2018-06-28,16.4
90,속초,2018-06-30,0.0
90,속초,2018-07-01,53.2
90,속초,2018-07-02,17.8
90,속초,2018-07-03,0.4
90,속초,2018-07-04,17.1
90,속초,2018-07-05,32.7
90,속초,2018-07-06,11.2
90,속초,2018-07-07,2.5
90,속초,2018-07-09,11.3
90,속초,2018-07-10,12.3
90,속초,2018-07-11,23.2
90,속초,2018-07-28,0.1
90,속초,2018-07-29,0.0
90,속초,2018-07-30,3.6
90,속초,2018-08-05,68.5
90,속초,2018-08-06,226.2
90,속초,2018-08-07,0.1
90,속초,2018-08-08,0.9
90,속초,2018-08-09,13.3
90,속초,2018-08-10,7.8
90,속초,2018-08-13,2.4
90,속초,2018-08-15,17.6
90,속초,2018-08-16,5.9
90,속초,2018-08-17,0.0
90,속초,2018-08-21,0.1
90,속초,2018-08-23,2.3
90,속초,2018-08-24,97.2
90,속초,2018-08-27,0.6
90,속초,2018-08-28,17.7
90,속초,2018-08-29,164.0
90,속초,2018-08-31,0.4
90,속초,2018-09-03,14.0
90,속초,2018-09-04,3.4
90,속초,2018-09-09,5.7
90,속초,2018-09-10,0.0
90,속초,2018-09-14,0.1
90,속초,2018-09-15,0.4
90,속초,2018-09-16,0.6
90,속초,2018-09-19,0.3
90,속초,2018-09-20,17.2
90,속초,2018-09-21,24.4
90,속초,2018-10-04,0.3
90,속초,2018-10-05,25.9
90,속초,2018-10-06,130.0
90,속초,2018-10-09,0.0
90,속초,2018-10-10,0.0
90,속초,2018-10-16,0.0
90,속초,2018-10-17,41.5
90,속초,2018-10-18,59.4
90,속초,2018-10-23,0.0
90,속초,2018-10-26,0.0
90,속초,2018-10-28,0.5
90,속초,2018-10-29,0.0
90,속초,2018-11-05,0.0
90,속초,2018-11-06,9.8
90,속초,2018-11-07,152.8
90,속초,2018-11-08,27.8
90,속초,2018-11-09,0.3
90,속초,2018-11-12,0.2
90,속초,2018-11-13,10.9
90,속초,2018-11-14,4.7
90,속초,2018-11-24,0.9
90,속초,2018-12-03,2.4
90,속초,2018-12-04,7.1
90,속초,2018-12-06,0.6
90,속초,2018-12-11,0.3
90,속초,2019-01-31,8.7
90,속초,2019-02-03,13.6
90,속초,2019-02-07,9.3
90,속초,2019-02-14,0.0
90,속초,2019-02-19,4.7
90,속초,2019-03-06,3.3
90,속초,2019-03-07,3.2
90,속초,2019-03-12,0.1
90,속초,2019-03-14,0.0
90,속초,2019-03-15,2.6
90,속초,2019-03-20,12.3
90,속초,2019-03-21,5.9
90,속초,2019-03-27,3.3
90,속초,2019-03-28,12.2
90,속초,2019-03-30,1.5
90,속초,2019-04-06,0.9
90,속초,2019-04-09,7.2
90,속초,2019-04-10,31.2
90,속초,2019-04-14,1.0
90,속초,2019-04-20,0.0
90,속초,2019-04-24,2.5
90,속초,2019-04-25,12.1
90,속초,2019-04-26,26.0
90,속초,2019-04-28,0.0
90,속초,2019-05-06,0.9
90,속초,2019-05-19,0.8
90,속초,2019-05-20,0.0
90,속초,2019-05-27,4.0
90,속초,2019-06-06,8.2
90,속초,2019-06-07,44.0
90,속초,2019-06-09,2.7
90,속초,2019-06-10,1.6
90,속초,2019-06-11,0.1
